nome_modelo,mse,rmse,tempo_consumo (s),memoria_consumo (mb)
ViTime_moving_30seg_run25,19.90542825406523,4.461549983365112,0.269203334,7.256969451904297
ViTime_moving_30seg_run26,19.90542825406523,4.461549983365112,0.269005632,7.256969451904297
ViTime_moving_30seg_run27,19.90542825406523,4.461549983365112,0.271210635,7.256969451904297
ViTime_moving_30seg_run28,19.90542825406523,4.461549983365112,0.271349842,7.256969451904297
ViTime_moving_30seg_run29,19.90542825406523,4.461549983365112,0.270331276,7.256969451904297
ViTime_moving_30seg_run30,19.90542825406523,4.461549983365112,0.269238939,7.256969451904297
ViTime_full_1min_run1,30.90407871389527,5.559143703295973,0.656373071,7.277751922607422
ViTime_full_1min_run2,30.90407871389527,5.559143703295973,0.275026252,7.257091522216797
ViTime_full_1min_run3,30.90407871389527,5.559143703295973,0.274673435,7.256969451904297
ViTime_full_1min_run4,30.90407871389527,5.559143703295973,0.273108862,7.256969451904297
ViTime_full_1min_run5,30.90407871389527,5.559143703295973,0.275105481,7.256969451904297
ViTime_full_1min_run6,30.90407871389527,5.559143703295973,0.276819433,7.256969451904297
